debtor_id,age,fico_score,days_overdue,income_level,has_collateral,region_risk,payment_history,bankruptcy_flag,pensioner_flag,recovery_probability
DEBTOR_00000,69,570,11,low,1,4,41.6,0,1,0.2097
DEBTOR_00001,75,321,74,low,1,5,18.02,0,1,0.0681
DEBTOR_00002,68,320,312,medium,0,1,21.58,0,1,0.0
DEBTOR_00003,21,301,6,medium,0,3,28.66,0,0,0.5842
DEBTOR_00004,79,595,172,low,0,3,35.33,0,1,0.2291
DEBTOR_00005,50,678,131,medium,0,1,29.22,0,0,0.6325
DEBTOR_00006,82,761,31,medium,0,1,5.49,0,1,0.1988
DEBTOR_00007,49,542,156,medium,0,4,36.65,0,0,0.5004
DEBTOR_00008,79,524,117,high,1,3,10.04,0,1,0.335
DEBTOR_00009,79,796,82,low,0,1,36.0,0,1,0.2661
DEBTOR_00010,19,352,56,low,0,2,15.12,0,0,0.4424
DEBTOR_00011,76,625,16,low,0,4,28.05,0,0,0.4845
DEBTOR_00012,67,450,97,medium,0,2,23.57,0,0,0.5317
DEBTOR_00013,41,719,6,medium,1,2,22.74,0,0,1.0
DEBTOR_00014,50,697,110,medium,0,3,57.17,0,0,0.7798
DEBTOR_00015,44,525,60,low,0,2,37.5,0,0,0.6936
DEBTOR_00016,23,398,28,medium,0,5,27.4,0,0,0.3239
DEBTOR_00017,71,622,76,high,1,3,4.58,0,1,0.3081
DEBTOR_00018,43,707,88,low,1,3,31.4,0,0,0.8584
DEBTOR_00019,66,353,11,high,0,4,16.69,0,0,0.3901
DEBTOR_00020,47,419,19,low,1,3,19.76,0,0,0.7109
DEBTOR_00021,78,746,52,low,1,3,38.24,0,1,0.2353
DEBTOR_00022,65,640,7,medium,0,1,66.17,0,1,0.2961
DEBTOR_00023,49,774,54,low,0,4,14.7,0,0,0.8025
DEBTOR_00024,29,601,81,low,0,3,46.79,0,0,0.6457
DEBTOR_00025,53,693,114,low,0,3,34.54,0,0,0.6815
DEBTOR_00026,47,572,17,low,1,5,14.3,0,0,0.6424
DEBTOR_00027,29,324,175,medium,1,3,53.18,0,0,0.5947
DEBTOR_00028,35,308,88,low,0,4,40.26,0,0,0.3195
DEBTOR_00029,62,431,121,medium,0,5,36.57,0,1,0.1006
DEBTOR_00030,78,660,272,low,0,4,29.59,0,1,0.2148
DEBTOR_00031,48,812,93,high,0,1,44.53,0,0,0.8402
DEBTOR_00032,25,615,58,medium,0,4,11.5,0,0,0.6374
DEBTOR_00033,83,309,60,medium,0,5,55.94,0,1,0.2256
DEBTOR_00034,18,704,96,high,0,4,10.48,0,0,0.5204
DEBTOR_00035,82,787,58,medium,0,3,8.1,0,1,0.3681
DEBTOR_00036,64,506,104,high,0,5,37.17,0,1,0.1962
DEBTOR_00037,47,405,19,high,0,2,24.82,0,0,0.6274
DEBTOR_00038,40,482,61,low,0,3,18.91,0,0,0.4917
DEBTOR_00039,59,833,36,low,0,3,50.75,0,0,0.931
DEBTOR_00040,78,636,91,low,1,3,63.46,0,1,0.3229
DEBTOR_00041,40,662,75,low,0,3,20.16,0,0,0.6051
DEBTOR_00042,34,824,158,low,1,3,43.19,0,0,0.9702
DEBTOR_00043,76,614,13,low,1,2,13.5,0,1,0.226
DEBTOR_00044,57,528,54,high,1,5,53.68,0,0,0.7981
DEBTOR_00045,22,625,26,medium,0,4,24.92,0,0,0.5908
DEBTOR_00046,20,309,5,medium,1,2,66.95,0,0,0.7288
DEBTOR_00047,26,846,1,medium,0,4,54.18,0,0,0.9703
DEBTOR_00048,79,431,75,low,0,4,19.69,0,1,0.0667
DEBTOR_00049,68,338,36,low,1,4,19.72,0,1,0.1733
DEBTOR_00050,44,588,52,medium,1,3,38.65,0,0,0.6139
DEBTOR_00051,62,429,126,medium,0,5,24.06,0,0,0.1861
DEBTOR_00052,79,509,351,medium,0,5,12.73,0,0,0.0
DEBTOR_00053,38,645,14,low,1,3,32.4,0,0,0.9627
DEBTOR_00054,52,543,25,low,0,3,39.03,0,0,0.7393
DEBTOR_00055,66,584,11,medium,0,3,23.07,0,1,0.2994
DEBTOR_00056,68,617,135,medium,0,4,41.15,0,1,0.1116
DEBTOR_00057,20,757,124,high,0,4,41.54,0,0,0.68
